"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfect","lisa","Child uses for drawing, easy to store, fair price, good quality","Reviewed in the United Kingdom on 3 January 2024","4.7 out of 5 stars","Verified Purchase"
"2","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","love them","4real","steadler products are just amazing. this took a while to arrive, the box came a bit beaten up, but the pencils are amazing quality. i highly recommend it.","Reviewed in the United States on 23 April 2020","5.0 out of 5 stars","Verified Purchase"
"3","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Una vez que te acostumbras a los lapiceros de esta marca no cambias","chus","Sólo con el peso que tienen, se nota que tienen una calidad estupenda, son los lapiceros de todo la vida, la dureza de la mina permite hacer los deberes sin problema.","Reviewed in Spain on 5 November 2023","5.0 out of 5 stars","Verified Purchase"
"4","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Nice and soft!!!","Homeschool Mom","Perfect for young kids to write without needing to put too much pressure on the paper!","Reviewed in Canada on 17 September 2023","5.0 out of 5 stars","Verified Purchase"
"5","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfectos recomendables","Acierto cars luxury s.l","Estos lápices Staedtler Noris son todo lo que esperaba y más. La consistencia del grafito HB garantiza líneas suaves y nítidas en cada trazo, y la resistencia a la rotura es impresionante. La ergonomía del diseño hace que sean cómodos de usar, incluso durante largas sesiones de escritura o dibujo. Además, el paquete de 5 unidades ofrece una excelente relación calidad-precio. ¡Definitivamente una compra que vale la pena para cualquier persona que valore la calidad en sus herramientas de escritura!","Reviewed in Spain on 12 March 2024","5.0 out of 5 stars","Verified Purchase"
"6","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Super","ABELLO Michelle","Rien à redire","Reviewed in France on 13 March 2023","5.0 out of 5 stars","Verified Purchase"
"7","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Écriture fluide","levasseur","Top, mon fils qui est au CP écrit bien mieux avec ce genre de crayon qu'avec les standards achetés précédemment en commerce","Reviewed in France on 26 March 2021","5.0 out of 5 stars","Verified Purchase"
"8","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Son muy buenos","Name","Son los lápices de siempre. Muy buenos, muy baratos y muy duraderos. Tan buenos que desaparecen del estuche de mi niña que vuela, jeje.","Reviewed in Spain on 14 March 2024","5.0 out of 5 stars","Verified Purchase"
"9","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Good quality…","JohnN","…as you would expect.","Reviewed in the United Kingdom on 29 September 2021","5.0 out of 5 stars","Verified Purchase"
"10","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Très bien","Marguerite et Colibri","Avoir plusieurs crayons papier de différents grains est vraiment utile selon l'utilisation qu'on recherche. Ces crayons sont très bien.","Reviewed in France on 4 November 2022","5.0 out of 5 stars","Verified Purchase"
"11","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Ottimo prodotto","BORRELLI FERDINANDO","Buon prodotto buon rapporto qualità prezzo imballo perfetto","Reviewed in Italy on 27 October 2020","4.7 out of 5 stars","Verified Purchase"
"12","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfekt","Rachid","Perfekt","Reviewed in Sweden on 10 June 2023","5.0 out of 5 stars","Verified Purchase"
"13","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Good set","Amazon Customer","Purchased for child starting secondary, has all the basics. Good price.","Reviewed in the United Kingdom on 9 September 2023","5.0 out of 5 stars","Verified Purchase"
"14","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Qualità e prezzo","Rosy","Ottime matite acquistate ad un buon prezzo","Reviewed in Italy on 10 October 2019","5.0 out of 5 stars","Verified Purchase"
"15","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Perfecto","Cliente Amazon","Pack con lápices de todos los grafitos necesarios para Plástica de 3º de la ESO.","Reviewed in Spain on 27 September 2022","4.0 out of 5 stars","Verified Purchase"
"16","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Buen material y buena marca.","Hugo Bargiela González","Buenos lápices y buena relación calidad precio.","Reviewed in Spain on 20 September 2023","5.0 out of 5 stars","Verified Purchase"
"17","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","5 matite 2HB più 1 gomma","BlueSky12","A inizio marzo, nella classe prima elementare di mio figlio, le maestre sono passate dalla matita “con scanalature” alla matita 2HB.Ne avevo una, ma è poi rimasta in classe nell’astuccio, per cui mi sono attivata subito a cercare su Amazon, per proseguire con i compiti a casa.Il prezzo è più che adeguato alla qualità dell’articolo (Staedler per me è “un nome: una garanzia”);si consideri inoltre la piacevole sorpresa di aver trovato inclusa (come da descrizione) una gomma da cancellare, ma “molto grande” (6,5cm x 2,5 vs -la classica gomma “da astuccio”- che misura 4cm x 2).Sono soddisfatta di questo mio acquisto per l’eccellente rapporto fra qualità, prezzo e quantità matite (più gomma da cancellare in omaggio!)","Reviewed in Italy on 14 April 2020","5.0 out of 5 stars","Verified Purchase"
