"title","author","subject","abstract","date"
"performance-aligned llms for generating fast code","daniel nichols, pranav polasam, harshitha menon, aniruddha marathe, todd gamblin, abhinav bhatele","distributed, parallel, and cluster computing","optimizing scientific software is a difficult task because codebases are often large and complex, and performance can depend upon several factors including the algorithm, its implementation, and hardware among others. causes of poor performance can originate from disparate sources and be difficult to diagnose. recent years have seen a multitude of work that use large language models (llms) to assist in software development tasks. however, these tools are trained to model the distribution of code as text, and are not specifically designed to understand performance aspects of code. in this work, we introduce a reinforcement learning based methodology to align the outputs of code llms with performance. this allows us to build upon the current code modeling capabilities of llms and extend them to generate better performing code. we demonstrate that our fine-tuned model improves the expected speedup of generated code over base models for a set of benchmark tasks from 0.9 to 1.6 for serial code and 1.9 to 4.5 for openmp code.",2024-04-29
"the dynamics of leadership and success in software development teams","lorenzo betti, luca gallo, johannes wachs, federico battiston","physics and society","from science to industry, teamwork plays a crucial role in knowledge production and innovation. most studies consider teams as static groups of individuals, thereby failing to capture how the micro-dynamics of collaborative processes and organizational changes determine team success. here, we leverage fine-grained temporal data on software development teams to gain insights into the dynamics of online collaborative projects. our analysis reveals an uneven workload distribution in teams, with stronger heterogeneity correlated with higher success, and the early emergence of a lead developer carrying out the majority of work. moreover, we find that a sizeable fraction of projects experience a change of lead developer, with such a transition being more likely in projects led by inexperienced users. finally, we show that leadership change is associated with faster success growth, in particular for the least successful projects. our work contributes to a deeper understanding of the link between team evolution and success in collaborative processes.",2024-04-29
"a framework to model ml engineering processes","sergio morales, robert clarisó, jordi cabot","software engineering","the development of machine learning (ml) based systems is complex and requires multidisciplinary teams with diverse skill sets. this may lead to communication issues or misapplication of best practices. process models can alleviate these challenges by standardizing task orchestration, providing a common language to facilitate communication, and nurturing a collaborative environment. unfortunately, current process modeling languages are not suitable for describing the development of such systems. in this paper, we introduce a framework for modeling ml-based software development processes, built around a domain-specific language and derived from an analysis of scientific and gray literature. a supporting toolkit is also available.",2024-04-29
"ai-powered code review with llms: early results","zeeshan rasheed, malik abdul sami, muhammad waseem, kai-kristian kemell, xiaofeng wang, anh nguyen, kari systä, pekka abrahamsson","software engineering","in this paper, we present a novel approach to improving software quality and efficiency through a large language model (llm)-based model designed to review code and identify potential issues. our proposed llm-based ai agent model is trained on large code repositories. this training includes code reviews, bug reports, and documentation of best practices. it aims to detect code smells, identify potential bugs, provide suggestions for improvement, and optimize the code. unlike traditional static code analysis tools, our llm-based ai agent has the ability to predict future potential risks in the code. this supports a dual goal of improving code quality and enhancing developer education by encouraging a deeper understanding of best practices and efficient coding techniques. furthermore, we explore the model's effectiveness in suggesting improvements that significantly reduce post-release bugs and enhance code review processes, as evidenced by an analysis of developer sentiment toward llm feedback. for future work, we aim to assess the accuracy and efficiency of llm-generated documentation updates in comparison to manual methods. this will involve an empirical study focusing on manually conducted code reviews to identify code smells and bugs, alongside an evaluation of best practice documentation, augmented by insights from developer discussions and code reviews. our goal is to not only refine the accuracy of our llm-based tool but also to underscore its potential in streamlining the software development lifecycle through proactive code improvement and education.",2024-04-29
"llmparser: an exploratory study on using large language models for log parsing","zeyang ma, an ran chen, dong jae kim, tse-hsun chen, shaowei wang","software engineering","logs are important in modern software development with runtime information. log parsing is the first step in many log-based analyses, that involve extracting structured information from unstructured log data. traditional log parsers face challenges in accurately parsing logs due to the diversity of log formats, which directly impacts the performance of downstream log-analysis tasks. in this paper, we explore the potential of using large language models (llms) for log parsing and propose llmparser, an llm-based log parser based on generative llms and few-shot tuning. we leverage four llms, flan-t5-small, flan-t5-base, llama-7b, and chatglm-6b in llmparsers. our evaluation of 16 open-source systems shows that llmparser achieves statistically significantly higher parsing accuracy than state-of-the-art parsers (a 96% average parsing accuracy). we further conduct a comprehensive empirical analysis on the effect of training size, model size, and pre-training llm on log parsing accuracy. we find that smaller llms may be more effective than more complex llms; for instance where flan-t5-base achieves comparable results as llama-7b with a shorter inference time. we also find that using llms pre-trained using logs from other systems does not always improve parsing accuracy. while using pre-trained flan-t5-base shows an improvement in accuracy, pre-trained llama results in a decrease (decrease by almost 55% in group accuracy). in short, our study provides empirical evidence for using llms for log parsing and highlights the limitations and future research direction of llm-based log parsers.",2024-04-27
"a survey of third-party library security research in application software","jia zeng, dan han, yaling zhu, yangzhong wang, fangchen weng","software engineering","in the current software development environment, third-party libraries play a crucial role. they provide developers with rich functionality and convenient solutions, speeding up the pace and efficiency of software development. however, with the widespread use of third-party libraries, associated security risks and potential vulnerabilities are increasingly apparent. malicious attackers can exploit these vulnerabilities to infiltrate systems, execute unauthorized operations, or steal sensitive information, posing a severe threat to software security. research on third-party libraries in software becomes paramount to address this growing security challenge. numerous research findings exist regarding third-party libraries' usage, ecosystem, detection, and fortification defenses. understanding the usage and ecosystem of third-party libraries helps developers comprehend the potential risks they bring and select trustworthy libraries. third-party library detection tools aid developers in automatically discovering third-party libraries in software, facilitating their management. in addition to detection, fortification defenses are also indispensable. this article profoundly investigates and analyzes this literature, summarizing current research achievements and future development directions. it aims to provide practical and valuable insights for developers and researchers, jointly promoting the healthy development of software ecosystems and better-protecting software from security threats.",2024-04-27
"using llms in software requirements specifications: an empirical evaluation","madhava krishna, bhagesh gaur, arsh verma, pankaj jalote","software engineering","the creation of a software requirements specification (srs) document is important for any software development project. given the recent prowess of large language models (llms) in answering natural language queries and generating sophisticated textual outputs, our study explores their capability to produce accurate, coherent, and structured drafts of these documents to accelerate the software development lifecycle. we assess the performance of gpt-4 and codellama in drafting an srs for a university club management system and compare it against human benchmarks using eight distinct criteria. our results suggest that llms can match the output quality of an entry-level software engineer to generate an srs, delivering complete and consistent drafts. we also evaluate the capabilities of llms to identify and rectify problems in a given requirements document. our experiments indicate that gpt-4 is capable of identifying issues and giving constructive feedback for rectifying them, while codellama's results for validation were not as encouraging. we repeated the generation exercise for four distinct use cases to study the time saved by employing llms for srs generation. the experiment demonstrates that llms may facilitate a significant reduction in development time for entry-level software engineers. hence, we conclude that the llms can be gainfully used by software engineers to increase productivity by saving time and effort in generating, validating and rectifying software requirements.",2024-04-27
"testing and understanding erroneous planning in llm agents through synthesized user inputs","zhenlan ji, daoyuan wu, pingchuan ma, zongjie li, shuai wang","artificial intelligence","agents based on large language models (llms) have demonstrated effectiveness in solving a wide range of tasks by integrating llms with key modules such as planning, memory, and tool usage. increasingly, customers are adopting llm agents across a variety of commercial applications critical to reliability, including support for mental well-being, chemical synthesis, and software development. nevertheless, our observations and daily use of llm agents indicate that they are prone to making erroneous plans, especially when the tasks are complex and require long-term planning.
in this paper, we propose pdoctor, a novel and automated approach to testing llm agents and understanding their erroneous planning. as the first work in this direction, we formulate the detection of erroneous planning as a constraint satisfiability problem: an llm agent's plan is considered erroneous if its execution violates the constraints derived from the user inputs. to this end, pdoctor first defines a domain-specific language (dsl) for user queries and synthesizes varying inputs with the assistance of the z3 constraint solver. these synthesized inputs are natural language paragraphs that specify the requirements for completing a series of tasks. then, pdoctor derives constraints from these requirements to form a testing oracle. we evaluate pdoctor with three mainstream agent frameworks and two powerful llms (gpt-3.5 and gpt-4). the results show that pdoctor can effectively detect diverse errors in agent planning and provide insights and error characteristics that are valuable to both agent developers and users. we conclude by discussing potential alternative designs and directions to extend pdoctor.",2024-04-27
"how do annotations affect java code readability?","eduardo guerra, everaldo gomes, jeferson ferreira, igor wiese, phyllipe lima, marco gerosa, paulo meirelles","software engineering","context: code annotations have gained widespread popularity in programming languages, offering developers the ability to attach metadata to code elements to define custom behaviors. many modern frameworks and apis use annotations to keep integration less verbose and located nearer to the corresponding code element. despite these advantages, practitioners' anecdotal evidence suggests that annotations might negatively affect code readability. objective: to better understand this effect, this paper systematically investigates the relationship between code annotations and code readability. method: in a survey with software developers (n=332), we present 15 pairs of java code snippets with and without code annotations. these pairs were designed considering five categories of annotation used in real-world java frameworks and apis. survey participants selected the code snippet they considered more readable for each pair and answered an open question about how annotations affect the code's readability. results: preferences were scattered for all categories of annotation usage, revealing no consensus among participants. the answers were spread even when segregated by participants' programming or annotation-related experience. nevertheless, some participants showed a consistent preference in favor or against annotations across all categories, which may indicate a personal preference. our qualitative analysis of the open-ended questions revealed that participants often praise annotation impacts on design, maintainability, and productivity but expressed contrasting views on understandability and code clarity. conclusions: software developers and api designers can consider our results when deciding whether to use annotations, equipped with the insight that developers express contrasting views of the annotations' impact on code readability.",2024-04-26
"unraveling code clone dynamics in deep learning frameworks","maram assi, safwat hassan, ying zou","software engineering","deep learning (dl) frameworks play a critical role in advancing artificial intelligence, and their rapid growth underscores the need for a comprehensive understanding of software quality and maintainability. dl frameworks, like other systems, are prone to code clones. code clones refer to identical or highly similar source code fragments within the same project or even across different projects. code cloning can have positive and negative implications for software development, influencing maintenance, readability, and bug propagation. in this paper, we aim to address the knowledge gap concerning the evolutionary dimension of code clones in dl frameworks and the extent of code reuse across these frameworks. we empirically analyze code clones in nine popular dl frameworks, i.e., tensorflow, paddle, pytorch, aesara, ray, mxnet, keras, jax and bentoml, to investigate (1) the characteristics of the long-term code cloning evolution over releases in each framework, (2) the short-term, i.e., within-release, code cloning patterns and their influence on the long-term trends, and (3) the file-level code clones within the dl frameworks. our findings reveal that dl frameworks adopt four distinct cloning trends and that these trends present some common and distinct characteristics. for instance, bug-fixing activities persistently happen in clones irrespective of the clone evolutionary trend but occur more in the ""serpentine"" trend. moreover, the within release level investigation demonstrates that short-term code cloning practices impact long-term cloning trends. the cross-framework code clone investigation reveals the presence of functional and architectural adaptation file-level cross-framework code clones across the nine studied frameworks. we provide insights that foster robust clone practices and collaborative maintenance in the development of dl frameworks.",2024-04-25
